apyg	apyl	apyg_nr	apyl_nr	apgapl_abbrev	apygapyl_hash
Aleksoto	Kazliškių	19	125	Aleksoto(19)-Kazliškių(125)	1da9e94d
Aleksoto	Tirkiliškių	19	126	Aleksoto(19)-Tirkiliškių(126)	fbe1a820
Aleksoto	Romainių	19	127	Aleksoto(19)-Romainių(127)	d3cd5eb9
Baltijos	Klaipėdos	20	21	Baltijos(20)-Klaipėdos(21)	92e80cbc
Baltijos	Rumpiškių	20	22	Baltijos(20)-Rumpiškių(22)	6954ff2c
Baltijos	Aitvaro	20	23	Baltijos(20)-Aitvaro(23)	b0e825c0
Baltijos	Brigantinos	20	26	Baltijos(20)-Brigantinos(26)	a792dd93
Baltijos	Draugystės	20	27	Baltijos(20)-Draugystės(27)	9c3d1c9d
Baltijos	Švyturio	20	29	Baltijos(20)-Švyturio(29)	414ecbfa
Baltijos	Olimpijos	20	30	Baltijos(20)-Olimpijos(30)	03d13e13
Baltijos	Dainavos	20	32	Baltijos(20)-Dainavos(32)	01f2b2b3
Baltijos	Aušros	20	33	Baltijos(20)-Aušros(33)	cedb1fd2
Baltijos	Nykštuko	20	35	Baltijos(20)-Nykštuko(35)	7e7233b3
Baltijos	Debreceno	20	36	Baltijos(20)-Debreceno(36)	c5ce9554
Baltijos	Gedminų	20	37	Baltijos(20)-Gedminų(37)	21feba20
Baltijos	Vėtrungės	20	38	Baltijos(20)-Vėtrungės(38)	30b2bd61
Baltijos	Žilvičio	20	39	Baltijos(20)-Žilvičio(39)	c15d759d
Baltijos	Menų	20	45	Baltijos(20)-Menų(45)	2a93ea52
Marių	Versmės	21	47	Marių(21)-Versmės(47)	2f69a6e7
Marių	Vakarų	21	48	Marių(21)-Vakarų(48)	794679ab
Marių	Aukuro	21	49	Marių(21)-Aukuro(49)	56afe85c
Marių	Želmenėlio	21	54	Marių(21)-Želmenėlio(54)	8458c677
Marių	Brožynų	21	55	Marių(21)-Brožynų(55)	a92b0a2e
Marių	Laukininkai	21	56	Marių(21)-Laukininkai(56)	11d164d0
Marių	Budelkiemio	21	57	Marių(21)-Budelkiemio(57)	0f0de5a3
Marių	Berželio	21	58	Marių(21)-Berželio(58)	4e728c2a
Marių	Volungėlės	21	67	Marių(21)-Volungėlės(67)	29ab4f76
Marių	Bandužių	21	68	Marių(21)-Bandužių(68)	acbf4320
Pajūrio	Kopų	22	1	Pajūrio(22)-Kopų(1)	b4c2f41e
Pajūrio	Smėlio	22	2	Pajūrio(22)-Smėlio(2)	4266dade
Pajūrio	Pušų	22	3	Pajūrio(22)-Pušų(3)	cccc60c5
Pajūrio	Muzikos	22	9	Pajūrio(22)-Muzikos(9)	93b86f06
Pajūrio	Žaliakalnio	22	10	Pajūrio(22)-Žaliakalnio(10)	984cfb78
Pajūrio	Saulutės	22	11	Pajūrio(22)-Saulutės(11)	e96c2dc3
Pajūrio	Strėvos	22	13	Pajūrio(22)-Strėvos(13)	9942b2b0
Pajūrio	Sulupės	22	14	Pajūrio(22)-Sulupės(14)	dd776219
Pajūrio	Pamario	22	40	Pajūrio(22)-Pamario(40)	16fbb154
Pajūrio	Rambyno	22	43	Pajūrio(22)-Rambyno(43)	002874ad
Pajūrio	Smiltelės	22	50	Pajūrio(22)-Smiltelės(50)	bc7a7a32
Pajūrio	Alksnynės	22	51	Pajūrio(22)-Alksnynės(51)	3a9e8b83
Pajūrio	Baltijos	22	52	Pajūrio(22)-Baltijos(52)	bf801d1d
Pajūrio	Jūreivių	22	62	Pajūrio(22)-Jūreivių(62)	4eee65fc
Pajūrio	Prekybos	22	63	Pajūrio(22)-Prekybos(63)	e63303bc
Pajūrio	Daukanto	22	64	Pajūrio(22)-Daukanto(64)	b81bd37c
Pajūrio	Kuršių	22	65	Pajūrio(22)-Kuršių(65)	beba65da
Danės	Gimnazijos	23	1	Danės(23)-Gimnazijos(1)	9d7b36d8
Danės	Danės	23	4	Danės(23)-Danės(4)	c4e2bbb3
Danės	Eglės	23	5	Danės(23)-Eglės(5)	16b96795
Danės	Dviračių	23	6	Danės(23)-Dviračių(6)	16ee1e65
Danės	Kretingos	23	7	Danės(23)-Kretingos(7)	8e7fb375
Danės	Šviesos	23	8	Danės(23)-Šviesos(8)	3baf984f
Danės	Tauralaukio	23	15	Danės(23)-Tauralaukio(15)	be982295
Danės	Baltikalnio	23	16	Danės(23)-Baltikalnio(16)	eca3209d
Danės	Saulėtekio	23	17	Danės(23)-Saulėtekio(17)	d941b6a2
Danės	Šatrijos	23	18	Danės(23)-Šatrijos(18)	83fd9e20
Danės	Vilties	23	19	Danės(23)-Vilties(19)	61c79169
Danės	Pingvinuko	23	20	Danės(23)-Pingvinuko(20)	43b0fd60
Danės	Šilojų	23	25	Danės(23)-Šilojų(25)	04b6fa17
Danės	Kalotės	23	27	Danės(23)-Kalotės(27)	922b3510
Danės	Slengių	23	30	Danės(23)-Slengių(30)	ccd09f55
Danės	Karklės	23	32	Danės(23)-Karklės(32)	e113466c
Danės	Girulių	23	59	Danės(23)-Girulių(59)	f0d6915a
Danės	Molo	23	60	Danės(23)-Molo(60)	81224ceb
Danės	Politechnikos	23	66	Danės(23)-Politechnikos(66)	072021a2
Saulės	Šalkauskio	24	15	Saulės(24)-Šalkauskio(15)	edf3bff2
Saulės	Linkuvos	24	20	Saulės(24)-Linkuvos(20)	7122aa80
Saulės	Šimšės	24	21	Saulės(24)-Šimšės(21)	57514479
Saulės	Zoknių	24	22	Saulės(24)-Zoknių(22)	37354fd4
Saulės	Pabalių	24	23	Saulės(24)-Pabalių(23)	b28cf6c3
Saulės	Donelaičio	24	25	Saulės(24)-Donelaičio(25)	ab2bcfa7
Saulės	Verduliukų	24	27	Saulės(24)-Verduliukų(27)	c7e52c3a
Saulės	Tilžės	24	28	Saulės(24)-Tilžės(28)	7cbcce99
