b1	b2	b3	b4	b5	partija	apylinkė
1	2	3	6	10	Krivick	Varėnos(70)-Puvočių(8)
1	2	4	7	8	LiaudiesP	Kuršo(37)-Lenkimų(14)
1	2	4	7	8	Liberalai	Sėlos(50)-Aleksandravėlės(31)
1	21	-	-	-	Krivick	Dzūkijos(69)-Rodžios(39)
1	3	4	5	9	LiaudiesP	Zanavykų(64)-Mikytų(23)
1	3	5	6	7	LaisvSąjung	Pasvalio(47)-Degesių(3)
1	2	20	-	-	LaisvSąjung	Šalčininkų(56)-Krakūnų(31)
1	2	3	4	13	LTSąrašas	Aukštaitijos(28)-Liberiškio(16)
1	2	3	5	12	LTSąrašas	Anykščių(49)-Jotainių(39)
1	2	3	6	11	LTSąrašas	Žiemgalos(46)-Bariūnų(5)
1	2	3	6	11	LTSąrašas	Nalšios(53)-Pavoverės(26)
1	2	4	6	10	LenkųAkcija	Pajūrio(22)-Pušų(3)
1	2	4	6	10	Tautininkai	Vilkaviškio(68)-Karklinių(15)
1	2	4	7	9	LaisvSąjung	Jurbarko(62)-Tamošių(22)
1	2	5	6	9	ŽaliųjųP	Diplomatinė-Baltarusija-Gardin(702)
1	3	5	6	8	DrąsosKelias	Žirmūnų(4)-Miestelio(154)
1	5	7	10	-	LiaudiesP	Nalšios(53)-Švedriškės(24)
1	6	16	-	-	DrąsosKelias	Kėdainių(43)-Dotnuvėlės(54)
1	7	15	-	-	LaisvSąjung	Lazdijų(71)-Viktarinos(28)
1	10	13	-	-	DrąsosKelias	Nevėžio(26)-Geležinkelio(1)
1	2	3	6	12	LaisvSąjung	Ukmergės(61)-Šešuolių(30)
1	2	3	6	12	Krivick	Kelmės(41)-Šaltenių(31)
1	2	3	7	11	LenkųAkcija	Aušros(25)-Varpo(11)
1	2	3	7	11	LiaudiesP	Raseinių(42)-Pašušvio(30)
1	2	3	7	11	LiaudiesP	Vilkaviškio(68)-Girėnų(39)
1	2	3	7	11	LTSąrašas	Nalšios(53)-Labanoro(4)
1	2	4	7	10	LTSąrašas	Žiemgalos(46)-Stupurų(24)
1	2	5	7	9	DrąsosKelias	Danės(23)-Karklės(32)
1	2	5	7	9	DrąsosKelias	Jurbarko(62)-Pašaltuonio(7)
1	2	5	7	9	Krivick	Raseinių(42)-Skirmantiškės(31)
1	3	4	5	11	LTSąrašas	Kuršo(37)-Erlėnų(19)
4	6	14	-	-	Tautininkai	Plungės(35)-Grumblių(16)
1	10	14	-	-	LTSąrašas	Pasvalio(47)-Gulbinėnų(13)
1	2	22	-	-	LTSąrašas	Visagino(52)-Samanių(10)
1	2	3	5	14	DrąsosKelias	Raudondvario(65)-Vandžiogalos(34)
1	2	3	5	14	LTSąrašas	Jurbarko(62)-Juodaičių(17)
1	2	3	8	11	LiaudiesP	Sūduvos(63)-Būdos(13)
1	2	4	5	13	LTSąrašas	Akmenės(39)-Židikų(28)
1	2	4	7	11	LTSąrašas	Biržų(48)-Kučgalio(19)
1	3	4	6	11	LTSąrašas	Vilkaviškio(68)-Serdokų(36)
1	4	5	7	8	LTSąrašas	Pasvalio(47)-Lygumų(18)
2	3	5	6	9	LTSąrašas	Kelmės(41)-Vidsodžio(40)
2	4	5	6	8	LiaudiesP	Trakų(58)-Jagėlonių(14)
7	18	-	-	-	LenkųAkcija	Aleksoto(19)-Kaniūkų(24)
1	2	3	5	15	LTSąrašas	Sūduvos(63)-Ąžuolų(11)
1	2	3	7	13	DrąsosKelias	Jonavos(60)-Čičinų(18)
1	2	4	19	-	LiaudiesP	Sėlos(50)-Juodpėnų(6)
1	2	5	18	-	DrąsosKelias	Ukmergės(61)-Deltuvos(23)
1	25	-	-	-	LiaudiesP	Varėnos(70)-Bijūnų(27)
1	3	5	7	10	LenkųAkcija	Šilutės(32)-Pagrynių(10)
1	3	6	7	9	LenkųAkcija	Pietų(33)-Tverų(8)
1	2	3	10	11	LiaudiesP	Plungės(35)-Gintališkės(14)
1	2	3	4	17	TvarkTeis	Sėlos(50)-Virbališkių(23)
1	2	4	5	15	LaisvSąjung	Jurbarko(62)-Armeniškių(18)
1	2	4	8	12	ŽaliųjųP	Šilutės(32)-Žemaitkiemio(19)
1	2	6	18	-	DrąsosKelias	Visagino(52)-Antazavės(2)
1	2	6	8	10	Tautininkai	Visagino(52)-Imbrado(7)
2	3	8	14	-	LiaudiesP	Šilutės(32)-Pašyšių(14)
27	-	-	-	-	DrąsosKelias	Zanavykų(64)-Patašinės(12)
1	2	3	5	17	Tautininkai	Aukštaitijos(28)-Žibartonių(11)
1	2	4	10	11	LenkųAkcija	Aleksoto(19)-Romainių(127)
1	2	4	6	15	LaisvSąjung	Visagino(52)-Samanių(10)
1	2	6	8	11	LiaudiesP	Sūduvos(63)-Bebruliškės(12)
1	3	7	8	9	LaisvSąjung	Anykščių(49)-Mačionių(23)
2	3	5	7	11	DarboPartija	Vilkaviškio(68)-Vilkupių(21)
1	2	26	-	-	LTSąrašas	Raseinių(42)-Grajauskų(25)
1	2	5	6	15	Tautininkai	Akmenės(39)-Pikelių(25)
1	2	5	7	14	LenkųAkcija	Šilutės(32)-Žemaičių(37)
1	3	6	8	11	DrąsosKelias	Anykščių(49)-Katinų(36)
1	4	6	8	10	LiaudiesP	Kuršo(37)-Padvarių(25)
1	4	7	8	9	TvarkTeis	Diplomatinė-Lenkija(2801)
1	2	3	7	17	DrąsosKelias	Nalšios(53)-Kaltanėnų(3)
1	2	5	10	12	LiaudiesP	Lazdijų(71)-Grūto(8)
1	2	5	10	12	Tautininkai	Nalšios(53)-Svirkų(14)
1	2	5	7	15	Tautininkai	Prienų(67)-Pieštuvėnų(33)
1	2	6	9	12	DrąsosKelias	Lazdijų(71)-Kirsnos(7)
1	2	9	18	-	DrąsosKelias	Kretingos(36)-Aikštės(5)
1	3	6	7	13	LaisvSąjung	Jonavos(60)-Panoterių(23)
1	3	7	9	10	Liberalai	Kelmės(41)-Gailių(4)
1	5	6	8	10	LaisvSąjung	Anykščių(49)-Aulelių(25)
2	3	4	7	14	LTSąrašas	Nemenčinės(55)-Visalaukės(35)
3	4	5	7	11	LTSąrašas	Dzūkijos(69)-Kavalčiukų(19)
30	-	-	-	-	DarboPartija	Diplomatinė-JAV-LA(67)
4	5	6	7	8	LenkųAkcija	Prienų(67)-Skriaudžių(13)
4	5	6	7	8	LiaudiesP	Kuršėnų(45)-Šiupylių(19)
4	5	6	7	8	Tautininkai	Jurbarko(62)-Tamošių(22)
7	8	15	-	-	DarboPartija	Vilkaviškio(68)-Keturvalakių(16)
1	2	3	4	21	Krivick	Diplomatinė-Egiptas(13)
1	2	5	11	12	Tautininkai	Akmenės(39)-Kapėnų(36)
1	2	5	6	17	DrąsosKelias	Lazdijų(71)-Šeštokų(23)
1	2	6	9	13	Tautininkai	Nalšios(53)-Meikštų(16)
